Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,24.347500,24.355000,24.347500,24.355000,22.285221,3000
2016-01-04,24.299999,24.299999,24.235001,24.235001,22.175421,900
2016-01-05,24.344999,24.362499,24.344999,24.360001,22.289806,1300
2016-01-06,24.405001,24.417500,24.372499,24.412500,22.337830,6300
2016-01-07,24.437500,24.485001,24.437500,24.480000,22.399599,4900
2016-01-08,24.517500,24.517500,24.517500,24.517500,22.433910,1300
2016-01-11,24.492500,24.512501,24.455000,24.502501,22.420179,1100
2016-01-12,24.507500,24.512501,24.492500,24.512501,22.429338,2400
2016-01-13,24.520000,24.530001,24.445000,24.520000,22.436195,8400
2016-01-14,24.530001,24.530001,24.530001,24.530001,22.445351,1600
2016-01-15,24.412500,24.412500,24.412500,24.412500,22.337830,800
2016-01-19,24.412500,24.412500,24.412500,24.412500,22.337830,500
2016-01-20,24.402500,24.507500,24.402500,24.455000,22.376724,2300
2016-01-21,24.457500,24.457500,24.332500,24.332500,22.264633,1400
2016-01-22,24.315001,24.445000,24.315001,24.427500,22.351561,3100
2016-01-25,24.385000,24.385000,24.385000,24.385000,22.312672,300
2016-01-26,24.420000,24.420000,24.315001,24.412500,22.337830,1500
2016-01-27,24.352501,24.352501,24.352501,24.352501,22.282934,1600
2016-01-28,24.442499,24.442499,24.407499,24.407499,22.333260,20800
2016-01-29,24.407499,24.407499,24.407499,24.407499,22.333260,0
2016-02-01,24.272499,24.420000,24.272499,24.325001,22.419661,1800
2016-02-02,24.437500,24.437500,24.400000,24.412500,22.500303,1200
2016-02-03,24.352501,24.457500,24.352501,24.430000,22.516441,700
2016-02-04,24.455000,24.469999,24.455000,24.469999,22.553305,6200
2016-02-05,24.445000,24.459999,24.377501,24.385000,22.474960,4000
2016-02-08,24.472500,24.472500,24.422501,24.422501,22.509525,700
2016-02-09,24.477501,24.477501,24.350000,24.350000,22.442703,2100
2016-02-10,24.350000,24.350000,24.350000,24.350000,22.442703,0
2016-02-11,24.325001,25.672501,24.322500,24.547501,22.624733,77200
2016-02-12,24.525000,24.525000,24.322500,24.422501,22.509525,9600
2016-02-16,24.500000,24.500000,24.275000,24.375000,22.465742,800
2016-02-17,24.462500,24.467501,24.242500,24.372499,22.463432,10200
2016-02-18,24.465000,24.465000,24.397499,24.440001,22.525650,3300
2016-02-19,24.442499,24.442499,24.307501,24.422501,22.509525,8000
2016-02-22,24.437500,24.480000,24.367500,24.480000,22.562521,1000
2016-02-23,24.325001,24.455000,24.325001,24.447500,22.532566,3000
2016-02-24,24.417500,24.517500,24.347500,24.350000,22.442703,2300
2016-02-25,24.507500,24.555000,24.385000,24.555000,22.631647,3300
2016-02-26,24.487499,24.487499,24.487499,24.487499,22.569433,1200
2016-02-29,24.514999,24.549999,24.455000,24.455000,22.539478,1700
2016-03-01,24.455000,24.455000,24.455000,24.455000,22.709515,100
2016-03-02,24.315001,24.465000,24.315001,24.465000,22.718809,500
2016-03-03,24.472500,24.502501,24.462500,24.485001,22.737373,1200
2016-03-04,24.469999,24.502501,24.447500,24.477501,22.730410,13600
2016-03-07,24.465000,24.465000,24.355000,24.357500,22.618977,1400
2016-03-08,24.514999,24.535000,24.514999,24.535000,22.783804,400
2016-03-09,24.535000,24.540001,24.417500,24.540001,22.788446,600
2016-03-10,24.555000,24.555000,24.497499,24.540001,22.788446,2500
2016-03-11,24.445000,24.542500,24.379999,24.379999,22.639870,7200
2016-03-14,24.522499,24.522499,24.445000,24.502501,22.753622,2300
2016-03-15,24.532499,24.549999,24.532499,24.549999,22.797733,600
2016-03-16,24.535000,24.639999,24.512501,24.639999,22.881306,1300
2016-03-17,24.674999,24.682501,24.537500,24.537500,22.786125,900
2016-03-18,24.715000,24.715000,24.715000,24.715000,22.950954,800
2016-03-21,24.782499,24.782499,24.665001,24.665001,22.904528,800
2016-03-22,24.709999,24.709999,24.709999,24.709999,22.946312,500
2016-03-23,24.712500,24.742500,24.712500,24.737499,22.971849,1500
2016-03-24,24.747499,24.770000,24.747499,24.770000,23.002029,600
2016-03-28,24.770000,24.770000,24.770000,24.770000,23.002029,0
