Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,19.900000,19.969999,19.860001,19.920000,18.188524,41400
2016-01-04,19.950001,19.990000,19.900000,19.900000,18.170256,45300
2016-01-05,19.940001,19.969999,19.940001,19.940001,18.206783,18600
2016-01-06,20.030001,20.090000,20.000000,20.080000,18.334612,18100
2016-01-07,20.090000,20.139999,20.070000,20.139999,18.389397,57700
2016-01-08,20.090000,20.139999,20.080000,20.120001,18.371128,21800
2016-01-11,20.070000,20.090000,20.000000,20.030001,18.288960,189300
2016-01-12,20.010000,20.100000,20.010000,20.100000,18.352877,5600
2016-01-13,20.070000,20.120001,20.049999,20.080000,18.334612,28000
2016-01-14,20.110001,20.129999,20.080000,20.100000,18.352877,16500
2016-01-15,20.110001,20.160000,20.110001,20.160000,18.407660,17100
2016-01-19,20.120001,20.200001,20.049999,20.120001,18.371128,124600
2016-01-20,20.190001,20.250000,20.139999,20.200001,18.444178,30500
2016-01-21,20.180000,20.219999,20.139999,20.180000,18.425915,23900
2016-01-22,20.170000,20.200001,20.010000,20.150000,18.398531,34800
2016-01-25,20.160000,20.180000,20.129999,20.150000,18.398531,29500
2016-01-26,20.139999,20.180000,20.139999,20.180000,18.425915,16500
2016-01-27,20.180000,20.180000,20.110001,20.139999,18.389397,12200
2016-01-28,20.100000,20.160000,20.080000,20.160000,18.407660,43000
2016-01-29,20.190001,20.230000,20.170000,20.209999,18.453316,18400
2016-02-01,20.180000,20.180000,20.059999,20.090000,18.394714,100100
2016-02-02,20.219999,20.219999,20.120001,20.200001,18.495428,47100
2016-02-03,20.219999,20.260000,20.190001,20.250000,18.541212,47800
2016-02-04,20.219999,20.240000,20.150000,20.240000,18.532053,18300
2016-02-05,20.230000,20.270000,20.160000,20.250000,18.541212,24300
2016-02-08,20.309999,20.309999,20.270000,20.299999,18.586992,43700
2016-02-09,20.320000,20.350000,20.270000,20.299999,18.586992,50700
2016-02-10,20.290001,20.320000,20.250000,20.299999,18.586992,109400
2016-02-11,20.350000,20.410000,20.309999,20.309999,18.596149,74800
2016-02-12,20.389999,20.389999,20.309999,20.330000,18.614460,177500
2016-02-16,20.330000,20.440001,20.280001,20.299999,18.586992,75700
2016-02-17,20.260000,20.290001,20.219999,20.260000,18.550371,32200
2016-02-18,20.209999,20.620001,20.200001,20.309999,18.596149,64600
2016-02-19,20.299999,20.299999,20.219999,20.219999,18.513741,34000
2016-02-22,20.250000,20.250000,20.200001,20.200001,18.495428,34900
2016-02-23,20.110001,20.240000,20.110001,20.230000,18.522900,49600
2016-02-24,20.230000,20.250000,20.200001,20.209999,18.504593,488300
2016-02-25,20.200001,20.250000,20.200001,20.230000,18.522900,259600
2016-02-26,20.190001,20.219999,20.139999,20.139999,18.440495,26000
2016-02-29,20.180000,20.190001,20.160000,20.180000,18.477116,250500
2016-03-01,20.120001,20.120001,20.020000,20.059999,18.367245,69700
2016-03-02,20.049999,20.059999,20.010000,20.010000,18.321465,28600
2016-03-03,20.000000,20.049999,19.959999,20.030001,18.339773,51900
2016-03-04,20.040001,20.040001,19.950001,19.959999,18.275684,40700
2016-03-07,19.980000,19.990000,19.940001,19.990000,18.303146,30600
2016-03-08,20.240000,20.240000,20.000000,20.030001,18.339773,136300
2016-03-09,19.969999,20.049999,19.969999,20.049999,18.358091,27500
2016-03-10,19.990000,20.059999,19.990000,20.040001,18.348932,34500
2016-03-11,20.070000,20.080000,20.030001,20.030001,18.339773,30400
2016-03-14,20.080000,20.090000,20.049999,20.080000,18.385557,18600
2016-03-15,20.059999,20.070000,20.030001,20.030001,18.339773,23300
2016-03-16,20.059999,20.100000,20.040001,20.100000,18.403870,47000
2016-03-17,20.090000,20.139999,20.080000,20.129999,18.431335,47000
2016-03-18,20.100000,20.190001,20.100000,20.139999,18.440495,69300
2016-03-21,20.139999,20.160000,20.120001,20.129999,18.431335,47200
2016-03-22,20.090000,20.190001,20.090000,20.150000,18.449646,36000
2016-03-23,20.139999,20.190001,20.139999,20.170000,18.467958,31000
2016-03-24,20.180000,20.200001,20.090000,20.100000,18.403870,40400
2016-03-28,20.120001,20.209999,20.100000,20.180000,18.477116,42500
2016-03-29,20.209999,20.260000,20.160000,20.260000,18.550371,99400
2016-03-30,20.200001,20.219999,20.150000,20.219999,18.513741,38000
2016-03-31,20.219999,20.320000,20.219999,20.290001,18.577841,71400
2016-04-01,20.219999,20.290001,20.219999,20.280001,18.568674,32000
2016-04-04,20.309999,20.320000,20.230000,20.270000,18.559526,23200
2016-04-05,20.280001,20.370001,20.280001,20.330000,18.614460,45500
2016-04-06,20.299999,20.379999,20.290001,20.360001,18.641932,45100
2016-04-07,20.360001,20.459999,20.350000,20.440001,18.715185,58100
2016-04-08,20.430000,20.480000,20.370001,20.430000,18.706026,58400
2016-04-11,20.440001,20.450001,20.389999,20.440001,18.715185,31700
2016-04-12,20.440001,20.440001,20.379999,20.410000,18.687710,43300
2016-04-13,20.420000,20.420000,20.370001,20.400000,18.678553,42500
2016-04-14,20.440001,20.459999,20.410000,20.430000,18.706026,30200
2016-04-15,20.420000,20.510000,20.420000,20.490000,18.760960,20900
2016-04-18,20.490000,20.530001,20.420000,20.490000,18.760960,218100
2016-04-19,20.530001,20.530001,20.440001,20.440001,18.715185,38500
2016-04-20,20.540001,20.540001,20.450001,20.510000,18.779270,71400
2016-04-21,20.510000,20.510000,20.400000,20.440001,18.715185,45800
2016-04-22,20.480000,20.480000,20.420000,20.469999,18.742645,31400
2016-04-25,20.480000,20.480000,20.410000,20.410000,18.687710,94800
2016-04-26,20.459999,20.459999,20.410000,20.420000,18.696865,43400
2016-04-27,20.469999,20.480000,20.420000,20.459999,18.733490,62200
2016-04-28,20.500000,20.510000,20.440001,20.500000,18.770111,18000
2016-04-29,20.490000,20.540001,20.459999,20.540001,18.806734,82200
2016-05-02,20.459999,20.480000,20.379999,20.440001,18.760849,99300
2016-05-03,20.540001,20.559999,20.500000,20.549999,18.861807,115000
2016-05-04,20.559999,20.559999,20.450001,20.540001,18.852633,55500
2016-05-05,20.530001,20.590000,20.510000,20.559999,18.870991,51300
2016-05-06,20.600000,20.600000,20.520000,20.590000,18.898531,27100
2016-05-09,20.600000,20.610001,20.540001,20.600000,18.907698,135500
2016-05-10,20.620001,20.629999,20.590000,20.600000,18.907698,21400
2016-05-11,20.629999,20.670000,20.580000,20.670000,18.971951,15200
2016-05-12,20.639999,20.670000,20.590000,20.620001,18.926058,42000
2016-05-13,20.690001,20.709999,20.650000,20.709999,19.008661,165900
2016-05-16,20.600000,20.670000,20.600000,20.650000,18.953594,67100
2016-05-17,20.700001,20.740000,20.650000,20.740000,19.036200,35300
2016-05-18,20.740000,20.740000,20.520000,20.520000,18.834272,115300
2016-05-19,20.549999,20.650000,20.530001,20.540001,18.852633,35800
2016-05-20,20.559999,20.639999,20.559999,20.600000,18.907698,44100
2016-05-23,20.660000,20.660000,20.559999,20.620001,18.926058,51800
2016-05-24,20.559999,20.629999,20.559999,20.590000,18.898531,62000
2016-05-25,20.620001,20.629999,20.510000,20.510000,18.825098,109900
2016-05-26,20.639999,20.639999,20.540001,20.559999,18.870991,124900
2016-05-27,20.620001,20.620001,20.549999,20.600000,18.907698,16800
2016-05-31,20.629999,20.629999,20.570000,20.590000,18.898531,36600
2016-06-01,20.629999,20.629999,20.559999,20.590000,18.944534,43700
2016-06-02,20.610001,20.610001,20.580000,20.610001,18.962927,14200
2016-06-03,20.570000,20.680000,20.570000,20.670000,19.018133,139100
2016-06-06,20.670000,20.670000,20.590000,20.600000,18.953726,70800
2016-06-07,20.680000,20.690001,20.660000,20.690001,19.036537,28600
2016-06-08,20.709999,20.719999,20.660000,20.709999,19.054935,65600
2016-06-09,20.719999,20.780001,20.670000,20.780001,19.119343,35200
2016-06-10,20.809999,20.860001,20.809999,20.840000,19.174547,36600
2016-06-13,20.850000,20.870001,20.830000,20.860001,19.192949,29000
2016-06-14,20.920000,20.920000,20.840000,20.900000,19.229752,37600
2016-06-15,20.900000,20.940001,20.889999,20.930000,19.257362,22300
2016-06-16,20.940001,20.990000,20.940001,20.990000,19.312559,92800
2016-06-17,20.990000,20.990000,20.900000,20.920000,19.248156,35300
2016-06-20,20.910000,20.910000,20.860001,20.870001,19.202147,54200
2016-06-21,20.870001,20.930000,20.870001,20.910000,19.238949,30400
2016-06-22,20.860001,20.920000,20.860001,20.900000,19.229752,24500
2016-06-23,20.860001,20.860001,20.770000,20.820000,19.156149,67500
2016-06-24,21.049999,21.070000,20.990000,21.049999,19.367769,69700
2016-06-27,21.129999,21.150000,21.080000,21.100000,19.413773,60700
2016-06-28,21.100000,21.150000,21.090000,21.100000,19.413773,37100
2016-06-29,21.100000,21.100000,21.030001,21.040001,19.358562,62200
2016-06-30,21.090000,21.110001,21.049999,21.100000,19.413773,95900
